toilet,PartOf,toilet,2.0
wheel,PartOf,bicycle,3.464
wheel,PartOf,car,2.0
wheel,PartOf,skateboard,1.0
above,RelatedTo,below,0.402
above,RelatedTo,over,0.776
above,RelatedTo,position,0.153
above,RelatedTo,sky,0.279
across,RelatedTo,over,0.966
across,RelatedTo,side,1.214
across,RelatedTo,table,0.15
across,RelatedTo,side,1.0
against,RelatedTo,background,1.0
against,RelatedTo,position,0.443
at,RelatedTo,in,2.0
at,RelatedTo,look,0.15
at,RelatedTo,near,1.183
at,RelatedTo,on,1.0
at,RelatedTo,place,1.77
backdrop,RelatedTo,background,1.0
backdrop,RelatedTo,setting,1.0
background,RelatedTo,behind,0.209
bag,RelatedTo,carry,0.102
bag,RelatedTo,hand,0.135
bag,RelatedTo,hold,0.104
bag,RelatedTo,inside,0.106
bag,RelatedTo,paper,0.988
bag,RelatedTo,base,1.0
bag,RelatedTo,paper,1.0
bag,RelatedTo,suitcase,1.0
bag,RelatedTo,street,1.0
baggage,RelatedTo,luggage,1.0
ball,RelatedTo,base,0.625
ball,RelatedTo,basket,1.187
ball,RelatedTo,hit,0.721
ball,RelatedTo,kick,0.294
ball,RelatedTo,wheel,0.13
base,RelatedTo,bag,0.141
base,RelatedTo,ball,0.123
base,RelatedTo,building,1.0
base,RelatedTo,home_plate,0.994
base,RelatedTo,place,0.523
base,RelatedTo,plate,1.232
base,RelatedTo,string,0.237
basket,RelatedTo,vase,1.0
bear,RelatedTo,hold,0.358
bear,RelatedTo,horse,0.711
bear,RelatedTo,trees,0.137
bed,RelatedTo,box,0.461
bed,RelatedTo,clock,0.193
bed,RelatedTo,has,2.96
bed,RelatedTo,person,0.861
bed,RelatedTo,pillow,4.594
bed,RelatedTo,place,8.362
bed,RelatedTo,post,0.496
bed,RelatedTo,short,0.154
bed,RelatedTo,sofa,0.318
bed,RelatedTo,table,1.917
bed,RelatedTo,under,0.136
bed,RelatedTo,layer,1.0
bed,RelatedTo,person,2.0
bed,RelatedTo,plant,2.0
bed,RelatedTo,sand,1.0
behind,RelatedTo,buttocks,0.136
behind,RelatedTo,follow,0.141
behind,RelatedTo,place,0.141
behind,RelatedTo,position,0.141
behind,RelatedTo,short,1.0
below,RelatedTo,above,0.392
below,RelatedTo,beneath,1.541
below,RelatedTo,position,1.145
below,RelatedTo,under,2.065
bench,RelatedTo,bus,0.166
bench,RelatedTo,chair,0.376
bench,RelatedTo,place,0.171
beneath,RelatedTo,above,0.468
beneath,RelatedTo,below,2.9
beneath,RelatedTo,cover,1.0
beneath,RelatedTo,position,0.122
beneath,RelatedTo,shelf,0.121
beneath,RelatedTo,under,3.096
beneath,RelatedTo,below,1.0
beside,RelatedTo,side,1.0
bicycle,RelatedTo,motorcycle,1.0
boat,RelatedTo,car,0.921
boat,RelatedTo,coat,0.124
boat,RelatedTo,engine,0.731
boat,RelatedTo,ride,0.23
boat,RelatedTo,tree,0.172
boat,RelatedTo,chair,1.0
bottle,RelatedTo,cup,0.106
bottle,RelatedTo,glass,0.316
bowl,RelatedTo,ball,0.248
bowl,RelatedTo,plate,0.697
box,RelatedTo,basket,0.148
box,RelatedTo,inside,0.581
box,RelatedTo,mail,0.154
box,RelatedTo,paper,0.173
box,RelatedTo,post,0.161
box,RelatedTo,shoes,0.517
box,RelatedTo,van,0.185
building,RelatedTo,construction,0.758
building,RelatedTo,sky,0.105
bus,RelatedTo,road,1.0
bush,RelatedTo,president,1.223
by,RelatedTo,beside,0.516
by,RelatedTo,near,2.35
by,RelatedTo,near,1.0
cabinet,RelatedTo,place,0.143
cabinet,RelatedTo,shelf,0.191
can,RelatedTo,bottle,0.53
can,RelatedTo,inside,1.588
can,RelatedTo,kick,0.296
can,RelatedTo,toilet,0.27
car,RelatedTo,box,0.166
car,RelatedTo,bus,1.245
car,RelatedTo,drive,1.668
car,RelatedTo,engine,0.814
car,RelatedTo,road,0.738
car,RelatedTo,short,0.158
car,RelatedTo,steering_wheel,0.177
car,RelatedTo,street,0.104
car,RelatedTo,truck,1.453
car,RelatedTo,van,1.636
car,RelatedTo,wheel,0.586
caravan,RelatedTo,van,1.0
carry,RelatedTo,bag,0.573
carry,RelatedTo,bear,0.584
carry,RelatedTo,hand,0.219
carry,RelatedTo,hold,2.854
carry,RelatedTo,luggage,0.34
carry,RelatedTo,boat,1.0
carry,RelatedTo,position,1.0
